english,category,post_count,aliases
masterpiece,0,5000000
best_quality,0,3000000
high_quality,0,2000000
normal_quality,0,500000
low_quality,0,100000
worst_quality,0,50000
absurdres,0,3000000
highres,0,2500000
lowres,0,200000
sketch,0,800000
lineart,0,600000
monochrome,0,700000
greyscale,0,400000
flat_color,0,500000
gradient,0,300000
cel_shading,0,400000
watercolor,0,200000,watercolour
oil_painting,0,150000
digital_painting,0,300000
3d,0,500000,three_dimensional
cgi,0,200000
realistic,0,800000
photorealistic,0,300000
anime_style,0,400000
anime_coloring,0,300000
manga_style,0,200000
comic,0,150000
western_style,0,100000
chibi,0,200000
1girl,4,5000000
1boy,4,2000000
2girls,4,500000
2boys,4,200000
multiple_girls,4,800000
multiple_boys,4,300000
solo,4,5000000
couple,4,400000
no_humans,4,1000000
blonde_hair,0,800000,blond_hair
brown_hair,0,700000
black_hair,0,900000
red_hair,0,600000
blue_hair,0,500000
pink_hair,0,400000
purple_hair,0,300000
green_hair,0,200000
white_hair,0,600000
silver_hair,0,400000
grey_hair,0,300000,gray_hair
long_hair,0,3000000
short_hair,0,2000000
medium_hair,0,1000000
very_long_hair,0,500000
ponytail,0,800000
twintails,0,500000
braid,0,300000
bun,0,200000
ahoge,0,400000
straight_hair,0,500000
wavy_hair,0,400000
curly_hair,0,200000
bangs,0,1000000
swept_bangs,0,300000
hair_between_eyes,0,200000
hair_over_one_eye,0,200000
blue_eyes,0,800000
red_eyes,0,600000
green_eyes,0,500000
brown_eyes,0,600000
purple_eyes,0,300000
yellow_eyes,0,200000
pink_eyes,0,150000
heterochromia,0,200000
glasses,0,600000
sunglasses,0,150000
school_uniform,0,1000000
serafuku,0,300000
maid,0,300000
kimono,0,300000
yukata,0,150000
dress,0,800000
skirt,0,700000
shorts,0,500000
pants,0,300000
jeans,0,200000
shirt,0,500000
jacket,0,300000
hoodie,0,300000
sweater,0,300000
bikini,0,400000
swimsuit,0,400000
underwear,0,300000,panties
nude,0,500000,naked
armor,0,200000,armour
casual,0,300000
formal,0,150000
sportswear,0,100000
hat,0,500000
ribbon,0,600000
bow,0,400000
flower,0,500000
hair_ornament,0,400000
hairband,0,300000
headband,0,150000
cat_ears,0,300000
animal_ears,0,400000
tail,0,400000
wings,0,300000
halo,0,100000
smile,0,4000000
open_mouth,0,2000000
blush,0,1500000
tears,0,800000
angry,0,500000
sad,0,400000
happy,0,1000000
surprised,0,500000
looking_at_viewer,0,4000000
looking_away,0,1000000
looking_back,0,300000
closed_eyes,0,1000000
open_eyes,0,500000
from_above,0,300000
from_below,0,200000
from_behind,0,300000
from_side,0,200000
portrait,0,1000000
full_body,0,800000
upper_body,0,500000
cowboy_shot,0,200000
sitting,0,800000
standing,0,1000000
lying,0,300000
running,0,200000
walking,0,200000
flying,0,150000
fighting,0,200000
holding,0,500000
eating,0,300000
drinking,0,150000
sleeping,0,200000
reading,0,200000
pointing,0,200000
waving,0,200000
hand_on_hip,0,150000
arms_behind_back,0,100000
arms_up,0,100000
crossed_arms,0,300000
peace_sign,0,200000
v_sign,0,200000,v
thumbs_up,0,200000
tongue_out,0,300000
winking,0,300000
grinning,0,200000
fang,0,150000
sharp_teeth,0,100000
mole,0,100000
mole_under_eye,0,80000
freckles,0,100000
scar,0,100000
tattoo,0,150000
bandages,0,80000
bandaid,0,50000
eyepatch,0,100000
mask,0,200000
cat_tail,0,200000
fox_ears,0,150000
fox_tail,0,100000
bunny_ears,0,100000
dog_ears,0,80000
horns,0,200000
demon_horns,0,100000
angel_wings,0,100000
demon_wings,0,80000
bat_wings,0,50000
dragon_tail,0,50000
multiple_tails,0,80000
nine_tails,0,50000
simple_background,0,2000000
white_background,0,1500000
black_background,0,500000
gradient_background,0,400000
transparent_background,0,300000
scenery,0,500000
outdoor,0,500000
indoor,0,300000
nature,0,400000
sky,0,1000000
clouds,0,800000
sunset,0,500000
night,0,600000
starry_sky,0,300000
moon,0,400000
sun,0,300000
rain,0,300000
snow,0,300000
cherry_blossoms,0,300000
water,0,600000
ocean,0,400000
beach,0,300000
forest,0,300000
mountain,0,200000
city,0,200000
cityscape,0,150000
street,0,200000
room,0,200000
classroom,0,200000
bedroom,0,200000
bathroom,0,100000
kitchen,0,100000
library,0,100000
rooftop,0,150000
school,0,200000
park,0,200000
garden,0,200000
field,0,200000
underwater,0,150000
space,0,200000
abstract_background,0,200000
